REGION,YEAR,MONTH,DAY,SEASON,STATION,TRANSECT,LATITUDE,LONGITUDE,DEPTH,T_SURF,T_NB,T0_50,Tmin,D_Tmin,S_NB,S0_50,STRAT,CIL,CHL0_100,SIL0_50,SIL50_150,NIT0_50,NIT50_150,XSIL0_50,XPHO0_50,PHO0_50,PHO50_150,CHLMAX,D_CHLMAX,O2_050,Cfin_CI,Cfin_CII,Cfin_CIII,Cfin_CIV,Cfin_CV,Cfin_CVI,Cfin_none,Cgla_CI,Cgla_CII,Cgla_CIII,Cgla_CIV,Cgla_CV,Cgla_CVI,Chyp_CI,Chyp_CII,Chyp_CIII,Chyp_CIV,Chyp_CV,Chyp_CVI,Chyp_none,ParaC_CI,ParaC_CII,ParaC_CIII,ParaC_CIV,ParaC_CV,ParaC_CVI,ParaC_CI_CV,ParaC_none,Cfin_IV-VI,Cglac_CIV-VI,Chyp_III-VI,Ln_Cfin_I-IV,Ln_Depth,Ln_STRAT,Ln_CHLA100,STRAT_corrNL,Ln_STRAT_corrNL,LnCglac_CI-III,Ln_Cgla_IV-VI,Ln_Cfin_IV-VI,T_0-50*Tmin,T0-50+Tmin,Ln_Chyp_I-III,Ln_Para_I_VI,TSURF-T0-50,Cfin_%CV/CV-VI,Cfin_%CVI/CV-VI,Ln ChypCIV-VI,Surveys_type
NL,1999,7,22,Summer,BB02,BB,48.8,-52.75,172,11.408,-1.392,3.55,-1.464,115.742,32.91,31.668,54.764,146.17,28.68,98.4,738.89,83.57,656.47,14.83,21.19,,,,23.905,7.445,10433,5216,4637,1159,0,72,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,1231,0,0,9.973246797,5.1474944768,4.0030330438,3.3562000157,2.59198012,0.9524221087,6.3630281035,,7.1155821262,-5.1972,2.086,,580,7.858,0,0.0033461914,0,TRANSECT
NL,1999,7,22,Summer,BB04,BB,48.917,-52.4,348,10.627,3.116,4.528,-1.508,112.665,34.56,31.628,48.418,191.981,31.86,51.45,967.26,82.65,854.68,-31.19,20.84,,,,32.266,7.079,13330,10433,1739,1159,580,2825,0,0,0,2318,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564,580,0,10.190957102,5.8522024798,3.8798716454,3.4613513045,2.29162394,0.8292607103,7.7484600239,6.3630281035,8.425954711,-6.828224,3.02,,0,6.099,0.0192908934,0.0939599548,0,TRANSECT
NL,1999,7,22,Summer,BB06,BB,49.1,-51.83,289,9.433,2.921,1.151,-1.583,102.625,34.471,32.059,48.17,211.637,22.07,199.76,837.88,204.23,956.68,-4.47,17.11,,,,18.379,7.319,8114,2318,1739,580,0,2898,0,0,2318,1159,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,3478,0,580,9.4533649789,5.6664266881,3.8747364206,3.0942192203,2.2798861,0.8241254856,8.153925132,,8.1542126949,-1.822033,-0.432,6.3630281035,0,8.282,0,0.1851875519,0,TRANSECT
NL,1999,7,21,Summer,BB08,BB,49.28,-51.28,320,10.655,3.495,4.054,-1.037,65.094,34.737,32.454,47.938,90.045,23.88,54.6,649.35,89.12,1063.56,-34.52,15.85,,,,36.07,7.001,11012,20865,8114,6955,0,4274,0,0,1159,1739,0,2898,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,11229,2898,580,10.756753284,5.7683209958,3.8699085093,3.1730412885,2.26890554,0.8192975743,7.9717761229,7.9717761229,9.3262549966,-4.203998,3.017,,0,6.601,0,0.0834439672,6.3647507569,TRANSECT
NL,1999,7,21,Summer,BB10,BB,49.517,-50.533,330,8.235,3.541,2.909,-0.325,31.798,34.782,33.014,36.18,56.374,32.56,130.37,925.93,216.1,1233.29,-85.73,16.17,,,,14.979,6.657,2898,3188,4347,4637,1449,9273,0,0,0,290,4057,1449,580,0,0,290,2029,290,0,0,0,0,0,0,0,0,0,0,15359,6086,2609,9.6204612916,5.7990926545,3.58850648,3.4830845411,1.7123994,0.5378955449,5.669880923,8.7137463305,9.6394569004,-0.945425,2.584,5.669880923,0,5.326,0.0561802109,0.3595300868,7.7493224647,TRANSECT
NL,1999,7,21,Summer,BB11,BB,49.683,-50.017,600,7.908,3.568,4.652,2.834,32.113,34.82,33.791,37.934,0,53.13,159.45,613.91,246.71,1217.47,-87.26,8.09,,,,18.974,7.029,2318,1159,869,0,10722,4782,0,0,0,0,0,290,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,15504,290,290,8.3770111608,6.3969296552,3.6358478076,3.9727417405,1.79541622,0.5852368725,,5.669880923,9.6488533341,13.183768,7.486,,0,3.256,0.5401511335,0.240906801,5.6733232672,TRANSECT
NL,1999,7,28,Summer,BI02,BI,56.717,-60.553,128,5.522,-0.891,0.911,-1.369,59.095,32.936,31.278,50.415,128.629,,,,,,,,,,,32.418,7.805,1449,1159,869,290,0,580,0,580,1449,1739,580,1449,281,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,870,2310,580,8.2340342077,4.8520302639,3.9202887498,,2.38614195,0.8696778148,8.2342996357,7.7450028035,6.7684932116,-1.247159,-0.458,,0,4.611,0,0.1334253508,6.3647507569,TRANSECT
NL,1999,7,28,Summer,BI05,BI,56.958,-60.03,130,6.567,-0.759,1.205,-1.01,66.54,33.222,31.934,47.896,106.59,,,,,,,,,,,30.096,7.437,11012,7535,3478,1159,580,598,0,5216,4637,5796,1739,1739,195,0,580,1739,1739,0,0,0,0,0,0,0,0,0,0,0,2337,3673,3478,10.051217665,4.8675344505,3.8690319936,,2.26691768,0.8184210586,9.6581622962,8.2087640458,7.7566233345,-1.21705,0.195,7.7488913373,0,5.362,0.0238075692,0.0245464248,7.4616403922,TRANSECT
NL,1999,7,28,Summer,BI07,BI,57.163,-59.57,144,6.324,-0.676,0.686,-0.914,89.887,33.282,32.005,41.109,129.481,,,,,,,,,,,29.515,7.554,9853,4057,2898,2318,580,1087,0,4057,1159,0,0,580,168,0,0,580,2318,0,0,0,0,0,0,0,0,0,0,0,3985,748,2898,9.8588039449,4.9698132996,3.7162270756,,1.94568897,0.6656161406,8.5594861036,6.617402978,8.2902925912,-0.627004,-0.228,6.3630281035,0,5.638,0.0278940028,0.0522772087,7.7488913373,TRANSECT
NL,1999,7,28,Summer,BI10,BI,57.453,-58.927,1238,4.596,,2.674,1.122,50.008,,32.768,37.069,0,,,,,,,,,,,38.412,7.154,290,0,290,145,580,561,0,435,145,0,145,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,1286,145,145,6.5861716549,7.1212524532,3.6127810408,,1.75447577,0.5621701057,6.3630281035,4.9767337424,7.1592919048,3.000228,3.796,,0,1.922,0.3108252947,0.3006430868,4.9836066217,TRANSECT
NL,1999,7,17,Summer,FC03,FC,47,-52.58,155,12.639,-0.137,5.278,-1.203,94.325,33.34,32.417,49.83,117.833,35.62,86.98,700.55,4.14,702.8,82.84,24.6,,,,17.321,6.979,1739,3478,1159,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7602962205,5.0434251169,3.9086172123,3.5729072779,2.3584539,0.8580062772,6.3630281035,,,-6.349434,4.075,,0,7.361,0,0,0,TRANSECT
NL,1999,7,18,Summer,FC17,FC,47,-47.017,1130,9.843,,6.232,2.227,53.065,,33.126,47.008,0,,,,,,,,,,,42.723,6.858,8694,1159,2898,2898,1159,299,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4356,0,0,9.6581622962,7.0299729117,3.8503178,,2.22488864,0.7997068649,6.3630281035,,8.3793094841,13.878664,8.459,,0,3.611,0.0677500438,0.0174782253,0,TRANSECT
NL,1999,7,19,Summer,FC20,FC,47,-46.483,346,12.554,3.779,9.818,3.778,332.715,34.826,33.765,36.488,0,76.28,118.3,1118.83,76.65,1460.35,41.65,14.07,,,,31.627,6.358,3478,4057,4057,4637,2318,1775,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8730,0,0,9.6945550443,5.8464387751,3.5969834394,4.3344107807,1.72697704,0.5463725043,6.3630281035,,9.0745206488,37.092404,13.596,,0,2.736,0.1140635764,0.0873437654,0,TRANSECT
NL,1999,7,27,Summer,MB02,MB,55.25,-58.437,248,5.522,-0.047,-0.191,-1.484,55.901,33.584,31.602,64.967,231.84,,,,,,,,,,,14.695,7.442,4347,2318,1159,0,290,2536,0,580,869,1739,2318,580,281,0,0,580,1739,0,0,0,0,0,0,0,0,0,0,0,2826,3179,2319,8.9649512117,5.5134287462,4.1738794487,,3.07488811,1.1232685136,8.0671490399,8.0643219609,7.9466175632,0.283444,-1.675,6.3630281035,0,5.713,0.0272300469,0.2381220657,7.4616403922,TRANSECT
NL,1999,7,27,Summer,MB05,MB,55.478,-57.907,122,5.056,-1.061,0.091,-1.476,50.366,32.73,31.542,46.295,106.394,,,,,,,,,,,36.493,7.643,1159,1449,290,0,0,1195,0,3188,2608,1739,0,290,290,0,0,580,1159,0,0,0,0,0,0,0,0,0,0,0,1195,580,1739,7.9717761229,4.8040210447,3.8350339639,,2.19114235,0.7844230288,8.9273141111,6.3630281035,7.0859014644,-0.134316,-1.385,6.3630281035,0,4.965,0,0.2919618861,7.0561752841,TRANSECT
NL,1999,7,27,Summer,MB07,MB,55.678,-57.44,200,6.117,-0.204,1.265,-1.087,44.579,33.611,32.002,50.971,180.24,,,,,,,,,,,28.205,7.359,8114,5506,2608,1159,1159,1159,0,869,1739,1449,1159,0,598,0,0,290,2898,0,0,0,0,0,0,0,0,0,0,0,3477,1757,3188,9.7634780795,5.2983173665,3.9312568435,,2.41245743,0.8806459085,8.3081990632,7.4713630882,8.153925132,-1.375055,0.178,5.669880923,0,4.852,0.058817559,0.058817559,7.9721211289,TRANSECT
NL,1999,7,27,Summer,MB10,MB,55.872,-56.983,1786,5.516,,3.544,1.808,79.99,,33.417,48.469,0,,,,,,,,,,,39.977,7.061,1159,290,869,869,4057,1159,0,0,290,0,290,0,0,0,0,0,1449,0,0,0,0,0,0,0,0,0,0,0,6085,290,1449,8.0668353144,7.4877337614,3.8809244183,,2.29403777,0.8303134833,5.669880923,5.669880923,8.7135820054,6.407552,5.352,,0,1.972,0.4828037606,0.1379269309,7.2793188354,TRANSECT
NL,1999,7,26,Summer,SI04,SI,53.533,-55.145,202,6.088,1.118,1.633,-0.688,61.928,34.003,32.132,40.5,139.093,303.06,228.05,1173.94,53.06,929.18,175,19.62,,,,38.682,7.58,3478,4347,4926,3188,5506,2536,0,290,0,290,0,290,0,0,0,0,1159,0,72,0,0,0,0,0,0,0,0,0,11230,290,1231,9.6765242151,5.3082676974,3.7013019741,5.7139308057,1.916865,0.650691039,6.3630281035,5.669880923,9.3263440477,-1.123504,0.945,,0,4.455,0.2295984321,0.1057503857,7.1163941441,TRANSECT
NL,1999,7,26,Summer,SI06,SI,53.757,-54.777,166,4.936,1.862,0.286,-0.93,22.907,34.23,32.583,40.253,107.897,28.44,325.12,1210.57,260.53,972.93,64.59,23.04,,,,12.217,7.411,4057,4637,9853,11592,9273,1304,0,580,0,0,2318,1739,0,0,0,1739,6375,0,27,0,0,0,0,0,0,0,0,0,22169,4057,8141,10.313575293,5.1119877884,3.6951845352,3.3477966049,1.90517449,0.6445736002,6.3630281035,8.3081990632,10.006450196,-0.26598,-0.644,7.4610655144,0,4.65,0.2277483053,0.0320267217,8.7645219095,TRANSECT
NL,1999,7,26,Summer,SI08,SI,54.082,-54.217,190,5.649,2.375,1.388,-0.631,31.229,34.374,32.588,48.8,113.169,209.88,220.37,983.99,139.86,847.61,80.51,15.03,,,,25.061,7.578,2608,2608,5796,3478,1449,2318,0,0,1159,580,580,0,0,0,0,0,2608,0,9,0,0,0,0,0,0,0,0,0,7245,580,2617,9.5812140353,5.2470240722,3.8877303129,5.3465359388,2.309704,0.8371193778,7.4610655144,6.3630281035,8.8880668548,-0.875828,0.757,,0,4.261,0.0793668182,0.1269649997,7.8701659465,TRANSECT
NL,1999,7,25,Summer,SI10,SI,54.355,-53.733,234,4.231,2.802,1.569,-0.635,49.47,34.459,32.412,33.172,144.654,398.43,236.51,936.27,95.91,725.25,140.6,15.14,,,,36.464,7.671,13330,11592,8114,7535,18547,5071,0,0,580,0,0,580,1159,0,0,2318,4057,0,72,0,0,0,0,0,0,0,0,0,31153,1739,6447,10.610808805,5.4553211154,3.5017061466,5.9875318241,1.57003076,0.4510952115,6.3630281035,7.4610655144,10.346665828,-0.996315,0.934,7.7484600239,0,2.662,0.2889435885,0.079001075,8.326032686,TRANSECT
NL,1999,7,25,Summer,SI12,SI,54.633,-53.25,680,5.435,3.611,1.407,-0.183,48.31,34.835,33.273,33.29,75.54,471.18,228.96,753.24,215.11,1063.33,13.85,12.26,,,,27.563,7.023,3767,1739,869,580,2898,4492,0,0,0,0,0,0,580,0,0,0,1739,290,0,0,0,0,0,0,0,0,0,0,7970,580,2029,8.8472161044,6.5220927982,3.5052570516,6.1552401866,1.5756157,0.4546461165,,6.3630281035,8.9834397718,-0.257481,1.224,,0,4.028,0.2020216103,0.3131404671,7.615791072,TRANSECT
NL,1999,11,25,Fall,BB06,BB,49.1,-51.83,296,1.182,3.342,1.189,0.186,103.981,34.607,32.713,1.485,104.113,59.26,367.34,1406.15,228.43,847.22,138.91,40.85,,,,33.978,7.275,0,580,580,5796,9273,2318,0,0,0,0,1159,580,580,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,17387,2319,1739,8.8473598755,5.6903594543,0.3954147723,4.0819345421,0.07028505,-2.655196163,,7.7488913373,9.7634780795,0.221154,1.375,,0,-0.007,0.4999730415,0.1249797811,7.4616403922,TRANSECT
NL,1999,11,25,Fall,BB08,BB,49.28,-51.28,327,2.2,3.786,2.194,1.611,122.341,34.706,32.819,0.636,0,105.16,339.6,975.58,182.76,770.06,156.84,36.82,,,,11.138,7.163,0,0,0,1159,9853,2391,0,0,0,0,290,290,290,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,13403,870,1739,7.0553128433,5.7899601709,-0.452556716,4.6554829999,0.03010188,-3.503167651,,6.7684932116,9.5032338415,3.534534,3.805,,0,0.006,0.7351339252,0.1783928971,7.4616403922,TRANSECT
NL,1999,11,26,Fall,BB13,BB,50,-49,1820,3.232,,3.239,3.23,33.145,,34.023,0.764,0,68.44,308.33,965.76,340.33,1298.7,-31.99,11.59,,,,49.933,7.124,290,145,0,145,1739,68,0,0,0,0,290,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,435,0,6.3630281035,7.5065917801,-0.26918749,4.225957449,0.03616012,-3.319798425,,6.0753460311,7.576609767,10.46197,6.469,,0,-0.007,0.728529535,0.0284876414,0,TRANSECT
NL,2000,5,5,Spring,BB01,BB,48.733,-52.967,102,0.921,-1.454,-0.15,-1.456,85.114,32.746,32.381,9.769,92.462,312.15,152.84,348.92,134.86,286.71,17.97,62.82,,,,20.506,8.959,0,0,0,0,869,1123,0,290,0,0,580,869,63,0,580,0,0,290,0,0,0,0,0,0,0,0,0,0,1992,1512,290,,4.6249728133,2.2792141067,5.7434838415,0.46236677,-0.771396828,5.669880923,7.3211885567,7.5968944381,0.2184,-1.606,6.3630281035,0,1.071,0.4362449799,0.5637550201,5.6733232672,TRANSECT
NL,2000,5,5,Spring,BB03,BB,48.833,-52.65,246,-0.038,-0.065,-0.126,-1.63,95.134,33.43,32.561,1.273,241.444,670.17,93.93,655.47,16.62,710.88,77.35,57.6,,,,22.399,9.447,0,0,0,0,0,3478,0,1739,0,0,1739,580,3985,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,3478,6304,1159,,5.5053315359,0.2413763196,6.5075314115,0.06025109,-2.809234615,7.4610655144,8.7489396315,8.1542126949,0.20538,-1.756,,0,0.088,0,1,7.0561752841,TRANSECT
NL,2000,5,5,Spring,BB04,BB,48.917,-52.4,346,-0.363,2.477,-0.395,-1.757,158.341,34.316,32.631,0.277,293.605,627.23,102.23,599.74,62.36,662.5,39.61,34.82,,,,22.809,9.315,0,0,0,0,290,290,0,0,0,0,0,580,290,0,290,0,0,145,0,0,0,0,0,0,0,0,0,0,580,870,145,,5.8464387751,-1.283737773,6.4413132995,0.01311041,-4.334348708,,6.7684932116,6.3630281035,0.694015,-2.152,5.669880923,0,0.032,0.5,0.5,4.9836066217,TRANSECT
NL,2000,5,5,Spring,BB05,BB,49.025,-52.067,294,-0.149,0.92,-0.598,-1.733,127.854,33.849,32.618,5.599,279.393,335.42,136.12,739.41,142.71,823.92,-6.61,35.69,,,,17.188,9.087,0,290,0,0,290,1521,0,290,0,0,0,869,290,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,1811,1159,290,5.669880923,5.6835797673,1.7225880104,5.8153834779,0.26500067,-1.328022925,5.669880923,7.0553128433,7.5016344579,1.036334,-2.331,,0,0.449,0.1380295098,0.7239409805,5.6733232672,TRANSECT
NL,2000,5,5,Spring,BB06,BB,49.1,-51.83,290,-0.544,2.56,-0.569,-1.749,108.187,34.344,32.724,0.45,255.399,338.32,276.36,808.34,164.65,824.6,111.12,52.99,,,,17.705,9.036,869,0,0,0,290,4347,0,869,0,0,580,869,580,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,4637,2029,580,6.7673431253,5.669880923,-0.798507696,5.8239921932,0.0212985,-3.849118631,6.7673431253,7.6152983398,8.4418228844,0.995181,-2.318,,0,0.025,0.0526698147,0.7895023611,6.3647507569,TRANSECT
